DEPTOS,Poblacion menor 1 anio,POLIO,POLIO_PCT,DPT,DPT_PCT,BCG,BCG_PCT,HEPATITIS B,HB_PCT,H.i.B.,HIB_PCT,Poblacion ,T.V.,TV_PCT,FIEBRE AMARILLA,FA_PCT,Fecha
AMAZONAS,"2,056","1,756",85.4,"1,755",85.4,"1,724",83.9,"1,771",86.1,"1,755",85.4,"2,018","1,693",83.9,"1,459",72.3,XII-2007
ANTIOQUIA,"102,541","88,862",86.7,"89,593",87.4,"96,624",94.2,"89,395",87.2,"89,593",87.4,"102,800","94,854",92.3,"93,715",91.2,XII-2007
ARAUCA,"6,788","5,820",85.7,"5,875",86.5,"5,046",74.3,"5,875",86.5,"5,875",86.5,"6,897","5,593",81.1,"5,808",84.2,XII-2007
ATLANTICO,"21,045","18,367",87.3,"18,365",87.3,"15,754",74.9,"18,339",87.1,"18,365",87.3,"21,643","18,683",86.3,"18,586",85.9,XII-2007
BARRANQUILLA,"22,173","26,623",120.1,"26,622",120.1,"31,809",143.5,"26,660",120.2,"26,622",120.1,"22,096","25,881",117.1,"26,357",119.3,XII-2007
BOGOTA,"118,045","111,145",94.2,"110,967",94,"122,304",103.6,"111,130",94.1,"111,070",94.1,"117,581","110,882",94.3,"108,480",92.3,XII-2007
BOLIVAR,"23,106","22,633",98,"22,646",98,"21,823",94.4,"22,741",98.4,"22,646",98,"23,175","20,318",87.7,"15,039",64.9,XII-2007
CARTAGENA,"18,603","21,772",117,"21,506",115.6,"22,339",120.1,"21,506",115.6,"21,506",115.6,"18,364","23,518",128.1,"18,961",103.3,XII-2007
BOYACA,"24,198","21,937",90.7,"21,919",90.6,"20,122",83.2,"21,919",90.6,"21,919",90.6,"24,568","22,794",92.8,"20,189",82.2,XII-2007
CALDAS,"17,014","13,389",78.7,"13,389",78.7,"11,501",67.6,"13,389",78.7,"13,389",78.7,"16,990","13,673",80.5,"13,663",80.4,XII-2007
CAQUETA,"10,874","10,715",98.5,"10,715",98.5,"11,032",101.5,"11,005",101.2,"10,683",98.2,"10,936","9,864",90.2,"8,066",73.8,XII-2007
CASANARE,"6,982","6,889",98.7,"6,889",98.7,"6,715",96.2,"6,894",98.7,"6,889",98.7,"7,015","6,635",94.6,"5,517",78.6,XII-2007
