CODEP,DEPARTAMENTOS,Poblacion menor 1 anio,POLIO,POLIO_PCT,DPT,DPT_PCT,BCG,BCG_PCT,HEPATITIS B,HB_PCT,H.i.B.,HBI_PCT,Poblacion ,T.V.,TV_PCT,FIEBRE AMARILLA,FA_PCT
91,AMAZONAS,"2,140","1,657", 77.4 ,"1,657", 77.4 ,"1,761", 82.3 ,"1,657", 77.4 ,"1,657  ", 77.4 ,"2,105","1,613", 76.6 ,"1,607", 76.3 
05,ANTIOQUIA,"102,748","85,158", 82.9 ,"85,375", 83.1 ,"93,578", 91.1 ,"85,182", 82.9 ,"85,465  ", 83.2 ,"102,781","91,483", 89.0 ,"85,841", 83.5 
81,ARAUCA,"6,686","5,150", 77.0 ,"5,153", 77.1 ,"4,705", 70.4 ,"5,266", 78.8 ,"5,153  ", 77.1 ,"6,777","5,311", 78.4 ,"5,311", 78.4 
08,ATLANTICO,"22,234","20,430", 91.9 ,"20,431", 91.9 ,"20,168", 90.7 ,"20,431", 91.9 ,"20,431  ", 91.9 ,"22,399","20,017", 89.4 ,"19,453", 86.8 
09,BARRANQUILLA,"20,639","22,000", 106.6 ,"22,044", 106.8 ,"27,747", 134.4 ,"22,060", 106.9 ,"22,044  ", 106.8 ,"20,932","21,557", 103.0 ,"21,025", 100.4 
11,BOGOTA," 118,677 ","114,688", 96.6 ,"114,632", 96.6 ,"116,371", 98.1 ,"114,566", 96.5 ,"114,632  ", 96.6 ," 118,141 ","115,129", 97.5 ,"87,437", 74.0 
13,BOLIVAR,"24,404","19,966", 81.8 ,"20,038", 82.1 ,"18,564", 76.1 ,"20,106", 82.4 ,"20,038  ", 82.1 ,"24,110","19,103", 79.2 ,"13,615", 56.5 
14,CARTAGENA,"17,315","22,344", 129.0 ,"21,711", 125.4 ,"23,543", 136.0 ,"21,720", 125.4 ,"21,711  ", 125.4 ,"17,425","22,885", 131.3 ,"17,705", 101.6 
15,BOYACA,"23,736","21,299", 89.7 ,"21,302", 89.7 ,"19,963", 84.1 ,"21,302", 89.7 ,"21,302  ", 89.7 ,"24,110","21,017", 87.2 ,"20,039", 83.1 
17,CALDAS,"16,867","13,467", 79.8 ,"13,617", 80.7 ,"11,328", 67.2 ,"13,631", 80.8 ,"13,393  ", 79.4 ,"16,850","13,994", 83.1 ,"11,220", 66.6 
18,CAQUETA,"10,797","9,373", 86.8 ,"9,383", 86.9 ,"10,576", 98.0 ,"9,380", 86.9 ,"9,373  ", 86.8 ,"10,837","9,274", 85.6 ,"9,022", 83.3 
85,CASANARE,"6,996","6,798", 97.2 ,"6,798", 97.2 ,"6,353", 90.8 ,"6,803", 97.2 ,"6,798  ", 97.2 ,"7,008","6,774", 96.7 ,"6,718", 95.9 
19,CAUCA,"25,956","22,372", 86.2 ,"22,326", 86.0 ,"21,877", 84.3 ,"22,324", 86.0 ,"22,320  ", 86.0 ,"26,060","23,844", 91.5 ,"17,170", 65.9 
20,CESAR,"22,278","23,276", 104.5 ,"23,276", 104.5 ,"25,677", 115.3 ,"23,199", 104.1 ,"23,276  ", 104.5 ,"22,306","23,258", 104.3 ,"17,084", 76.6 
27,CHOCO,"13,617","10,690", 78.5 ,"10,688", 78.5 ,"11,709", 86.0 ,"10,688", 78.5 ,"10,688  ", 78.5 ,"13,465","11,459", 85.1 ,"10,410", 77.3 
23,CORDOBA,"35,688","36,384", 102.0 ,"36,969", 103.6 ,"36,033", 101.0 ,"36,604", 102.6 ,"36,109  ", 101.2 ,"35,437","34,638", 97.7 ,"22,567", 63.7 
25,CUNDINAMARCA,"45,836","36,176", 78.9 ,"36,156", 78.9 ,"28,960", 63.2 ,"36,164", 78.9 ,"36,156", 78.9 ,"45,728","37,733", 82.5 ,"33,157", 72.5 
94,GUAINIA,"1,037",402, 38.8 ,411, 39.6 ,672, 64.8 ,416, 40.1 ,411  , 39.6 ,"1,028",589, 57.3 ,472, 45.9 
95,GUAVIARE,"2,699","2,164", 80.2 ,"2,164", 80.2 ,"1,939", 71.8 ,"2,164", 80.2 ,"2,164  ", 80.2 ,"2,676","2,105", 78.7 ,"2,102", 78.6 
41,HUILA,"22,511","22,297", 99.0 ,"22,365", 99.4 ,"21,163", 94.0 ,"22,369", 99.4 ,"22,365  ", 99.4 ,"22,475","22,480", 100.0 ,"22,224", 98.9 
44,LA GUAJIRA,"22,869","20,978", 91.7 ,"22,471", 98.3 ,"16,821", 73.6 ,"22,287", 97.5 ,"22,471  ", 98.3 ,"22,257","19,109", 85.9 ,"19,036", 85.5 
47,MAGDALENA,"18,573","18,078", 97.3 ,"18,026", 97.1 ,"18,289", 98.5 ,"18,058", 97.2 ,"18,026  ", 97.1 ,"18,644","18,465", 99.0 ,"13,883", 74.5 
48,SANTA MARTA,"9,220","8,950", 97.1 ,"8,955", 97.1 ,"9,893", 107.3 ,"8,955", 97.1 ,"8,955  ", 97.1 ,"9,396","9,342", 99.4 ,"7,144", 76.0 
50,META,"17,779","16,998", 95.6 ,"16,986", 95.5 ,"17,091", 96.1 ,"17,012", 95.7 ,"16,986  ", 95.5 ,"17,732","16,912", 95.4 ,"16,889", 95.2 
52,NARI�O,"32,794","23,669", 72.2 ,"23,680", 72.2 ,"24,390", 74.4 ,"23,703", 72.3 ,"23,714  ", 72.3 ,"32,935","25,094", 76.2 ,"23,703", 72.0 
