CODEP,DEPARTAMENTOS,"Población
Menor 1 año",VOP <DE1 AÑO 3ras + VIP <1AÑO 3as Dosis, % VOP 3ras ,DPT MENOR DE UN AÑO 3ras. Dosis, % DPT 3ras ,"BCG RECIEN NACIDO (HASTA 28 DÍAS) + MENOR UN AÑO (29 DÍAS A 11 MESES 29 DIAS)
Dosis Unica", % BCG ,HB MENOR DE UN AÑO + (HB < 1 AÑO (ÚNICAMENTE CUANDO NO SE PUEDE COLOCAR PENTAVALENTE POR REACCION A LA DPT) 3ras Dosis, % Hepatitis B ,"Hib MENOR DE UN AÑO
3ra.Dosis", % Hib ,"Población 
De 1 año","SRP (T.V.) DE UN AÑO
U.Dósis", %TV ,"F.A. 1 AÑO
U. Dósis", %F.A. ,"ROTAVIRUS DE 2 A 7 MESES 29 DIAS
2da Dosis",% Rota 2da Dosis,"Neumo de (12 meses)
3ra Dosis","% Neumo de (12 meses)
3ra dosis",Neumo de (12-23 meses) 2da Dosis,% Neumo de (12-23 meses),Neumo de (24- 35 Meses) Dosis Unica,% Neumo de (24- 35 Meses),,,,
91,AMAZONAS,"2,107"," 1,559 ", 74.0 ," 1,564 ", 74.2 ," 1,681 ", 79.8 ," 1,565 ", 74.3 ," 1,564 ", 74.2 ,"2,066"," 1,809 ", 87.6 ," 1,808 ", 87.5 , 987 , 70.3 , 70 , 3.3 , 2 ,0.1, -   ,0.0," 12,609 ",1405,,
05,ANTIOQUIA,"103,161"," 85,444 ", 82.8 ," 85,729 ", 83.1 ," 87,735 ", 85.0 ," 85,312 ", 82.7 ," 85,780 ", 83.2 ,"103,000"," 95,219 ", 92.4 ," 96,465 ", 93.7 ," 59,758 ", 86.9 ," 7,374 ", 7.1 ," 3,538 ",3.4," 2,451 ",2.4," 694,805 ",68774,,
81,ARAUCA,"6,627"," 4,906 ", 74.0 ," 4,903 ", 74.0 ," 4,706 ", 71.0 ," 4,927 ", 74.3 ," 4,883 ", 73.7 ,"6,708"," 5,188 ", 77.3 ," 5,181 ", 77.2 ," 3,114 ", 70.5 , 62 , 0.9 , 436 ,6.5, 471 ,7.0," 38,777 ",4418,,
08,ATLANTICO,"22,323"," 22,235 ", 99.6 ," 22,234 ", 99.6 ," 21,564 ", 96.6 ," 22,234 ", 99.6 ," 22,234 ", 99.6 ,"22,450"," 22,407 ", 99.8 ," 22,342 ", 99.5 ," 8,883 ", 59.7 , 440 , 2.0 , 86 ,0.4, 41 ,0.2," 164,700 ",14882,,
08001,BARRANQUILLA,"20,345"," 22,737 ", 111.8 ," 23,004 ", 113.1 ," 27,280 ", 134.1 ," 23,004 ", 113.1 ," 23,004 ", 113.1 ,"20,619"," 23,368 ", 113.3 ," 21,758 ", 105.5 ," 12,911 ", 95.2 , 676 , 3.3 , 164 ,0.8, 168 ,0.8," 178,074 ",13563,,
11,BOGOTÁ D.C.," 119,208 "," 115,265 ", 96.7 ," 115,176 ", 96.6 ," 122,374 ", 102.7 ," 115,185 ", 96.6 ," 115,176 ", 96.6 ," 118,604 "," 117,039 ", 98.7 ," 124,011 ", 104.6 ," 109,459 ", 137.7 ," 100,504 ", 84.3 , 564 ,0.5, 771 ,0.7," 1,035,524 ",79472,,
13,BOLÍVAR,"24,551"," 23,224 ", 94.6 ," 23,526 ", 95.8 ," 21,180 ", 86.3 ," 23,526 ", 95.8 ," 23,526 ", 95.8 ,"24,233"," 22,626 ", 93.4 ," 22,748 ", 93.9 ," 10,512 ", 64.2 , 205 , 0.8 , 308 ,1.3, 158 ,0.7," 171,539 ",16367,,
13001,CARTAGENA,"17,143"," 20,346 ", 118.7 ," 20,590 ", 120.1 ," 23,514 ", 137.2 ," 20,590 ", 120.1 ," 20,590 ", 120.1 ,"17,254"," 20,457 ", 118.6 ," 19,635 ", 113.8 ," 9,404 ", 82.3 ," 1,477 ", 8.6 ," 1,751 ",10.1, 175 ,1.0," 158,529 ",11429,,
15,BOYACÁ,"23,293"," 21,432 ", 92.0 ," 21,395 ", 91.9 ," 19,117 ", 82.1 ," 21,395 ", 91.9 ," 21,395 ", 91.9 ,"23,658"," 21,517 ", 91.0 ," 21,523 ", 91.0 ," 14,023 ", 90.3 , 578 , 2.5 , 805 ,3.4, 332 ,1.4," 163,512 ",15529,,
17,CALDAS,"16,709"," 12,889 ", 77.1 ," 12,871 ", 77.0 ," 10,493 ", 62.8 ," 12,653 ", 75.7 ," 12,623 ", 75.5 ,"16,697"," 13,169 ", 78.9 ," 13,278 ", 79.5 ," 6,055 ", 54.4 , 252 , 1.5 , 154 ,0.9, 44 ,0.3," 94,481 ",11139,,
18,CAQUETÁ,"10,775"," 9,345 ", 86.7 ," 9,336 ", 86.6 ," 9,765 ", 90.6 ," 9,340 ", 86.7 ," 9,337 ", 86.7 ,"10,783"," 9,448 ", 87.6 ," 9,786 ", 90.8 ," 3,382 ", 47.1 , 64 , 0.6 , 124 ,1.1, 31 ,0.3," 69,958 ",7183,,
85,CASANARE,"6,989"," 6,653 ", 95.2 ," 6,653 ", 95.2 ," 6,390 ", 91.4 ," 6,657 ", 95.2 ," 6,653 ", 95.2 ,"7,018"," 7,083 ", 100.9 ," 7,020 ", 100.0 ," 5,128 ", 110.1 ," 1,595 ", 22.8 , 545 ,7.8, 4 ,0.1," 54,381 ",4659,,
19,CAUCA,"25,992"," 24,247 ", 93.3 ," 24,247 ", 93.3 ," 19,774 ", 76.1 ," 24,247 ", 93.3 ," 24,247 ", 93.3 ,"26,006"," 24,513 ", 94.3 ," 24,409 ", 93.9 ," 10,129 ", 58.5 ," 12,522 ", 48.2 , -   ,0.0, -   ,0.0," 188,335 ",17328,,
20,CESAR,"22,229"," 24,028 ", 108.1 ," 24,027 ", 108.1 ," 24,891 ", 112.0 ," 24,027 ", 108.1 ," 24,024 ", 108.1 ,"22,230"," 24,509 ", 110.3 ," 24,740 ", 111.3 ," 14,596 ", 98.5 ," 1,490 ", 6.7 ," 1,887 ",8.5," 1,370 ",6.2," 189,589 ",14819,,
27,CHOCÓ,"13,576"," 10,236 ", 75.4 ," 10,237 ", 75.4 ," 10,768 ", 79.3 ," 10,256 ", 75.5 ," 10,237 ", 75.4 ,"13,434"," 11,484 ", 85.5 ," 11,697 ", 87.1 ," 3,448 ", 38.1 , 55 , 0.4 , 140 ,1.0, 13 ,0.1," 78,571 ",9051,,
25,CÓRDOBA,"35,799"," 35,705 ", 99.7 ," 35,707 ", 99.7 ," 34,156 ", 95.4 ," 35,724 ", 99.8 ," 35,706 ", 99.7 ,"35,525"," 36,636 ", 103.1 ," 35,665 ", 100.4 ," 9,361 ", 39.2 , 14 , 0.0 , 30 ,0.1, 68 ,0.2," 258,772 ",23866,,
25,CUNDINAMARCA,"46,254"," 35,139 ", 76.0 ," 35,139 ", 76.0 ," 32,300 ", 69.8 ," 35,142 ", 76.0 ," 35,139 ", 76.0 ,"46,100"," 36,291 ", 78.7 ," 32,611 ", 70.7 ," 17,054 ", 55.3 , 641 , 1.4 , 656 ,1.4, 242 ,0.5," 260,354 ",30836,,
94,GUAINÍA,"1,003", 769 , 76.7 , 753 , 75.1 , 779 , 77.7 , 741 , 73.9 , 731 , 72.9 ,994, 728 , 73.2 , 713 , 71.7 , 368 , 55.0 , 148 , 14.8 , 23 ,2.3, 8 ,0.8," 5,761 ",669,,
95,GUAVIARE,"2,798"," 2,182 ", 78.0 ," 2,182 ", 78.0 ," 1,950 ", 69.7 ," 2,182 ", 78.0 ," 2,182 ", 78.0 ,"2,772"," 2,134 ", 77.0 ," 2,134 ", 77.0 ," 1,008 ", 54.0 , 27 , 1.0 , 85 ,3.1, 52 ,1.9," 16,118 ",1865,,
41,HUILA,"22,569"," 21,479 ", 95.2 ," 21,495 ", 95.2 ," 19,460 ", 86.2 ," 21,495 ", 95.2 ," 21,495 ", 95.2 ,"22,505"," 22,403 ", 99.5 ," 22,350 ", 99.3 ," 13,660 ", 90.8 , 174 , 0.8 ," 1,141 ",5.1, 25 ,0.1," 165,177 ",15046,,
