CODIGO,DPTO,Municipio, Población menor de 1 año (1) , VOP ,% VOP, DPT ,% DPT, BCG ,%BCG, Hepatitis B ,% Hepatitis B, Hib ,%Hib, Población de 1 año (1) , Triple Viral ,%Triple Viral
05001,Antioquia,Medellín," 29,085 "," 29,428 ",101.2," 29,907 ",102.8," 41,663 ",143.2," 29,881 ",102.7," 29,907 ",102.8," 29,314 "," 31,500 ",107.5
05002,Antioquia,Abejorral, 370 , 333 ,90.0, 334 ,90.3, 189 ,51.1, 334 ,90.3, 334 ,90.3, 369 , 315 ,85.4
05004,Antioquia,Abriaquí, 43 , 30 ,69.8, 30 ,69.8, 16 ,37.2, 30 ,69.8, 30 ,69.8, 43 , 38 ,88.4
05021,Antioquia,Alejandría, 53 , 74 ,139.6, 74 ,139.6, 48 ,90.6, 74 ,139.6, 74 ,139.6, 54 , 64 ,118.5
05030,Antioquia,Amagá, 563 , 400 ,71.0, 414 ,73.5, 243 ,43.2, 414 ,73.5, 414 ,73.5, 569 , 443 ,77.9
05031,Antioquia,Amalfi, 478 , 494 ,103.3, 504 ,105.4, 312 ,65.3, 504 ,105.4, 504 ,105.4, 477 , 457 ,95.8
05034,Antioquia,Andes, 854 , 547 ,64.1, 550 ,64.4, 494 ,57.8, 547 ,64.1, 550 ,64.4, 853 , 614 ,72.0
05036,Antioquia,Angelópolis, 127 , 85 ,66.9, 86 ,67.7, 56 ,44.1, 86 ,67.7, 86 ,67.7, 129 , 83 ,64.3
05038,Antioquia,Angostura, 305 , 236 ,77.4, 237 ,77.7, 155 ,50.8, 237 ,77.7, 237 ,77.7, 299 , 247 ,82.6
05040,Antioquia,Anorí, 319 , 370 ,116.0, 372 ,116.6, 283 ,88.7, 370 ,116.0, 372 ,116.6, 320 , 356 ,111.3
05042,Antioquia,Santafé de Antioquia, 497 , 379 ,76.3, 373 ,75.1," 1,034 ",208.0, 373 ,75.1, 373 ,75.1, 500 , 396 ,79.2
05044,Antioquia,Anzá, 166 , 131 ,78.9, 131 ,78.9, 82 ,49.4, 132 ,79.5, 131 ,78.9, 166 , 135 ,81.3
05045,Antioquia,Apartadó," 3,679 "," 2,623 ",71.3," 2,616 ",71.1," 4,793 ",130.3," 2,602 ",70.7," 2,616 ",71.1," 3,629 "," 2,879 ",79.3
05051,Antioquia,Arboletes, 852 , 539 ,63.3, 555 ,65.1, 549 ,64.4, 555 ,65.1, 555 ,65.1, 846 , 768 ,90.8
05055,Antioquia,Argelia, 248 , 144 ,58.1, 144 ,58.1, 117 ,47.2, 144 ,58.1, 144 ,58.1, 248 , 152 ,61.3
05059,Antioquia,Armenia, 97 , 72 ,74.2, 71 ,73.2, 46 ,47.4, 64 ,66.0, 71 ,73.2, 97 , 85 ,87.6
05079,Antioquia,Barbosa, 895 , 555 ,62.0, 555 ,62.0, 303 ,33.9, 555 ,62.0, 555 ,62.0, 899 , 609 ,67.7
05086,Antioquia,Belmira, 143 , 110 ,76.9, 110 ,76.9, 59 ,41.3, 110 ,76.9, 110 ,76.9, 144 , 117 ,81.3
05088,Antioquia,Bello," 6,883 "," 4,809 ",69.9," 4,814 ",69.9," 3,256 ",47.3," 4,818 ",70.0," 4,814 ",69.9," 6,977 "," 5,061 ",72.5
05091,Antioquia,Betania, 211 , 185 ,87.7, 185 ,87.7, 116 ,55.0, 185 ,87.7, 185 ,87.7, 212 , 195 ,92.0
05093,Antioquia,Betulia, 375 , 301 ,80.3, 289 ,77.1, 253 ,67.5, 291 ,77.6, 289 ,77.1, 371 , 315 ,84.9
05101,Antioquia,Ciudad Bolívar, 584 , 446 ,76.4, 448 ,76.7, 861 ,147.4, 447 ,76.5, 448 ,76.7, 585 , 513 ,87.7
05107,Antioquia,Briceño, 190 , 248 ,130.5, 248 ,130.5, 189 ,99.5, 248 ,130.5, 248 ,130.5, 191 , 268 ,140.3
05113,Antioquia,Buriticá, 154 , 143 ,92.9, 142 ,92.2, 107 ,69.5, 143 ,92.9, 142 ,92.2, 153 , 143 ,93.5
05120,Antioquia,Cáceres, 920 , 585 ,63.6, 585 ,63.6, 652 ,70.9, 585 ,63.6, 585 ,63.6, 905 , 812 ,89.7
05125,Antioquia,Caicedo, 204 , 149 ,73.0, 153 ,75.0, 135 ,66.2, 153 ,75.0, 153 ,75.0, 201 , 178 ,88.6
05129,Antioquia,Caldas," 1,124 "," 1,029 ",91.5," 1,028 ",91.5," 1,772 ",157.7," 1,025 ",91.2," 1,028 ",91.5," 1,141 "," 1,042 ",91.3
05134,Antioquia,Campamento, 198 , 199 ,100.5, 194 ,98.0, 173 ,87.4, 194 ,98.0, 194 ,98.0, 199 , 194 ,97.5
05138,Antioquia,Cañasgordas, 373 , 253 ,67.8, 254 ,68.1, 168 ,45.0, 254 ,68.1, 254 ,68.1, 368 , 265 ,72.0
05142,Antioquia,Caracolí, 96 , 82 ,85.4, 82 ,85.4, 63 ,65.6, 81 ,84.4, 82 ,85.4, 96 , 91 ,94.8
05145,Antioquia,Caramanta, 103 , 69 ,67.0, 79 ,76.7, 40 ,38.8, 79 ,76.7, 79 ,76.7, 106 , 69 ,65.1
05147,Antioquia,Carepa," 1,194 "," 1,180 ",98.8," 1,180 ",98.8, 916 ,76.7," 1,176 ",98.5," 1,180 ",98.8," 1,181 ", 959 ,81.2
05148,Antioquia,El Carmen de Viboral, 910 , 601 ,66.0, 599 ,65.8, 384 ,42.2, 599 ,65.8, 599 ,65.8, 907 , 656 ,72.3
05150,Antioquia,Carolina, 71 , 45 ,63.4, 42 ,59.2, 20 ,28.2, 42 ,59.2, 42 ,59.2, 71 , 43 ,60.6
05154,Antioquia,Caucasia," 2,172 "," 1,777 ",81.8," 1,798 ",82.8," 3,275 ",150.8," 1,777 ",81.8," 1,798 ",82.8," 2,158 "," 2,140 ",99.2
05172,Antioquia,Chigorodó," 1,631 "," 1,444 ",88.5," 1,450 ",88.9," 1,164 ",71.4," 1,447 ",88.7," 1,450 ",88.9," 1,614 "," 1,579 ",97.8
05190,Antioquia,Cisneros, 172 , 144 ,83.7, 146 ,84.9, 100 ,58.1, 146 ,84.9, 146 ,84.9, 172 , 154 ,89.5
05197,Antioquia,Cocorná, 275 , 207 ,75.3, 207 ,75.3, 119 ,43.3, 207 ,75.3, 207 ,75.3, 274 , 211 ,77.0
05206,Antioquia,Concepción, 68 , 61 ,89.7, 60 ,88.2, 33 ,48.5, 60 ,88.2, 60 ,88.2, 66 , 58 ,87.9
05209,Antioquia,Concordia, 481 , 334 ,69.4, 334 ,69.4, 266 ,55.3, 334 ,69.4, 334 ,69.4, 481 , 349 ,72.6
05212,Antioquia,Copacabana, 886 , 584 ,65.9, 588 ,66.4, 214 ,24.2, 582 ,65.7, 588 ,66.4, 902 , 556 ,61.6
05234,Antioquia,Dabeiba, 645 , 321 ,49.8, 405 ,62.8, 464 ,71.9, 389 ,60.3, 405 ,62.8, 629 , 496 ,78.9
05237,Antioquia,Don Matías, 386 , 352 ,91.2, 353 ,91.5, 174 ,45.1, 353 ,91.5, 353 ,91.5, 390 , 356 ,91.3
05240,Antioquia,Ebéjico, 243 , 179 ,73.7, 179 ,73.7, 101 ,41.6, 179 ,73.7, 179 ,73.7, 242 , 190 ,78.5
05250,Antioquia,El Bagre," 1,179 "," 2,267 ",192.3," 2,297 ",194.8," 1,984 ",168.3," 2,288 ",194.1," 2,297 ",194.8," 1,172 "," 2,311 ",197.2
05264,Antioquia,Entrerríos, 178 , 168 ,94.4, 170 ,95.5, 89 ,50.0, 170 ,95.5, 170 ,95.5, 179 , 174 ,97.2
05266,Antioquia,Envigado," 2,711 "," 1,693 ",62.4," 1,695 ",62.5," 1,558 ",57.5," 1,693 ",62.4," 1,695 ",62.5," 2,757 "," 1,658 ",60.1
05282,Antioquia,Fredonia, 405 , 421 ,104.0, 420 ,103.7, 212 ,52.3, 420 ,103.7, 420 ,103.7, 410 , 400 ,97.6
05284,Antioquia,Frontino, 451 , 334 ,74.1, 354 ,78.5, 266 ,59.0, 353 ,78.3, 354 ,78.5, 447 , 480 ,107.4
05306,Antioquia,Giraldo, 80 , 68 ,85.0, 67 ,83.8, 38 ,47.5, 67 ,83.8, 67 ,83.8, 81 , 74 ,91.4
05308,Antioquia,Girardota, 842 , 499 ,59.3, 502 ,59.6, 227 ,27.0, 502 ,59.6, 502 ,59.6, 849 , 526 ,62.0
05310,Antioquia,Gómez Plata, 218 , 94 ,43.1, 95 ,43.6, 67 ,30.7, 89 ,40.8, 95 ,43.6, 219 , 98 ,44.7
05313,Antioquia,Granada, 184 , 150 ,81.5, 153 ,83.2, 81 ,44.0, 153 ,83.2, 153 ,83.2, 183 , 163 ,89.1
05315,Antioquia,Guadalupe, 113 , 105 ,92.9, 91 ,80.5, 74 ,65.5, 91 ,80.5, 91 ,80.5, 114 , 117 ,102.6
05318,Antioquia,Guarne, 850 , 431 ,50.7, 434 ,51.1, 192 ,22.6, 434 ,51.1, 434 ,51.1, 850 , 466 ,54.8
05321,Antioquia,Guatapé, 100 , 64 ,64.0, 65 ,65.0, 31 ,31.0, 65 ,65.0, 65 ,65.0, 101 , 71 ,70.3
05347,Antioquia,Heliconia, 133 , 104 ,78.2, 102 ,76.7, 59 ,44.4, 102 ,76.7, 102 ,76.7, 134 , 112 ,83.6
05353,Antioquia,Hispania, 86 , 83 ,96.5, 83 ,96.5, 36 ,41.9, 83 ,96.5, 83 ,96.5, 88 , 98 ,111.4
05360,Antioquia,Itaguí," 4,136 "," 3,046 ",73.6," 3,026 ",73.2," 2,118 ",51.2," 2,994 ",72.4," 3,026 ",73.2," 4,181 "," 3,118 ",74.6
05361,Antioquia,Ituango, 697 , 434 ,62.3, 440 ,63.1, 455 ,65.3, 440 ,63.1, 440 ,63.1, 676 , 525 ,77.7
05364,Antioquia,Jardín, 309 , 220 ,71.2, 220 ,71.2, 169 ,54.7, 220 ,71.2, 220 ,71.2, 308 , 217 ,70.5
05368,Antioquia,Jericó, 231 , 170 ,73.6, 170 ,73.6, 105 ,45.5, 170 ,73.6, 170 ,73.6, 231 , 178 ,77.1
05376,Antioquia,La Ceja, 872 , 876 ,100.5, 862 ,98.9, 726 ,83.3, 862 ,98.9, 862 ,98.9, 883 , 907 ,102.7
05380,Antioquia,La Estrella, 986 , 253 ,25.7, 255 ,25.9, 99 ,10.0, 255 ,25.9, 255 ,25.9, 994 , 298 ,30.0
05390,Antioquia,La Pintada, 133 , 139 ,104.5, 139 ,104.5, 71 ,53.4, 139 ,104.5, 139 ,104.5, 135 , 164 ,121.5
05400,Antioquia,La Unión, 384 , 275 ,71.6, 272 ,70.8, 130 ,33.9, 272 ,70.8, 272 ,70.8, 384 , 266 ,69.3
05411,Antioquia,Liborina, 155 , 160 ,103.2, 160 ,103.2, 127 ,81.9, 160 ,103.2, 160 ,103.2, 155 , 169 ,109.0
05425,Antioquia,Maceo, 141 , 159 ,112.8, 161 ,114.2, 76 ,53.9, 161 ,114.2, 161 ,114.2, 142 , 176 ,123.9
05440,Antioquia,Marinilla, 986 , 704 ,71.4, 682 ,69.2, 290 ,29.4, 704 ,71.4, 682 ,69.2, 994 , 692 ,69.6
05467,Antioquia,Montebello, 136 , 95 ,69.9, 94 ,69.1, 63 ,46.3, 94 ,69.1, 94 ,69.1, 137 , 104 ,75.9
05475,Antioquia,Murindó, 82 , 61 ,74.4, 62 ,75.6, 127 ,154.9, 60 ,73.2, 62 ,75.6, 82 , 112 ,136.6
05480,Antioquia,Mutatá, 409 , 449 ,109.8, 451 ,110.3, 432 ,105.6, 446 ,109.0, 451 ,110.3, 404 , 521 ,129.0
05483,Antioquia,Nariño, 357 , 202 ,56.6, 195 ,54.6, 130 ,36.4, 196 ,54.9, 195 ,54.6, 353 , 230 ,65.2
05490,Antioquia,Necoclí," 1,333 "," 1,435 ",107.7," 1,426 ",107.0," 1,112 ",83.4," 1,426 ",107.0," 1,426 ",107.0," 1,313 "," 1,580 ",120.3
05495,Antioquia,Nechí, 513 , 294 ,57.3, 294 ,57.3, 500 ,97.5, 294 ,57.3, 294 ,57.3, 510 , 422 ,82.7
05501,Antioquia,Olaya, 65 , 34 ,52.3, 34 ,52.3, 24 ,36.9, 34 ,52.3, 34 ,52.3, 64 , 45 ,70.3
05541,Antioquia,Peñol, 335 , 226 ,67.5, 227 ,67.8, 127 ,37.9, 227 ,67.8, 227 ,67.8, 337 , 261 ,77.4
05543,Antioquia,Peque, 220 , 160 ,72.7, 157 ,71.4, 145 ,65.9, 157 ,71.4, 157 ,71.4, 219 , 139 ,63.5
05576,Antioquia,Pueblorrico, 172 , 112 ,65.1, 112 ,65.1, 113 ,65.7, 112 ,65.1, 112 ,65.1, 172 , 136 ,79.1
05579,Antioquia,Puerto Berrío, 761 , 951 ,125.0, 952 ,125.1, 952 ,125.1, 940 ,123.5, 952 ,125.1, 770 , 919 ,119.4
05585,Antioquia,Puerto Nare, 373 , 293 ,78.6, 294 ,78.8, 189 ,50.7, 294 ,78.8, 294 ,78.8, 369 , 304 ,82.4
05591,Antioquia,Puerto Triunfo, 374 , 303 ,81.0, 299 ,79.9, 245 ,65.5, 299 ,79.9, 299 ,79.9, 370 , 340 ,91.9
05604,Antioquia,Remedios, 518 , 441 ,85.1, 442 ,85.3, 465 ,89.8, 442 ,85.3, 442 ,85.3, 519 , 527 ,101.5
05607,Antioquia,Retiro, 337 , 135 ,40.1, 139 ,41.2, 76 ,22.6, 139 ,41.2, 139 ,41.2, 338 , 140 ,41.4
05615,Antioquia,Rionegro," 1,892 "," 1,721 ",91.0," 1,719 ",90.9," 3,615 ",191.1," 1,719 ",90.9," 1,719 ",90.9," 1,914 "," 1,684 ",88.0
05628,Antioquia,Sabanalarga, 198 , 165 ,83.3, 166 ,83.8, 106 ,53.5, 165 ,83.3, 166 ,83.8, 194 , 185 ,95.4
05631,Antioquia,Sabaneta, 484 , 321 ,66.3, 317 ,65.5, 130 ,26.9, 318 ,65.7, 317 ,65.5, 495 , 339 ,68.5
05642,Antioquia,Salgar, 417 , 299 ,71.7, 293 ,70.3, 172 ,41.2, 293 ,70.3, 293 ,70.3, 416 , 295 ,70.9
05647,Antioquia,San Andrés, 147 , 122 ,83.0, 121 ,82.3, 119 ,81.0, 121 ,82.3, 121 ,82.3, 148 , 130 ,87.8
05649,Antioquia,San Carlos, 333 , 162 ,48.6, 167 ,50.2, 100 ,30.0, 167 ,50.2, 167 ,50.2, 330 , 203 ,61.5
05652,Antioquia,San Francisco, 130 , 93 ,71.5, 92 ,70.8, 58 ,44.6, 91 ,70.0, 92 ,70.8, 130 , 105 ,80.8
05656,Antioquia,San Jerónimo, 241 , 175 ,72.6, 180 ,74.7, 90 ,37.3, 180 ,74.7, 180 ,74.7, 242 , 181 ,74.8
05658,Antioquia,San José de la Montaña, 82 , 56 ,68.3, 63 ,76.8, 39 ,47.6, 61 ,74.4, 63 ,76.8, 79 , 65 ,82.3
05659,Antioquia,San Juan de Urabá, 682 , 648 ,95.0, 650 ,95.3, 501 ,73.5, 649 ,95.2, 650 ,95.3, 669 , 642 ,96.0
05660,Antioquia,San Luis, 246 , 198 ,80.5, 198 ,80.5, 173 ,70.3, 198 ,80.5, 198 ,80.5, 242 , 230 ,95.0
05664,Antioquia,San Pedro, 484 , 361 ,74.6, 359 ,74.2, 234 ,48.3, 346 ,71.5, 359 ,74.2, 486 , 425 ,87.4
05665,Antioquia,San Pedro de Urabá, 811 , 849 ,104.7, 847 ,104.4, 717 ,88.4, 841 ,103.7, 847 ,104.4, 796 , 904 ,113.6
05667,Antioquia,San Rafael, 232 , 220 ,94.8, 221 ,95.3, 149 ,64.2, 221 ,95.3, 221 ,95.3, 230 , 238 ,103.5
05670,Antioquia,San Roque, 389 , 314 ,80.7, 316 ,81.2, 202 ,51.9, 316 ,81.2, 316 ,81.2, 385 , 298 ,77.4
05674,Antioquia,San Vicente, 321 , 345 ,107.5, 344 ,107.2, 211 ,65.7, 328 ,102.2, 344 ,107.2, 326 , 280 ,85.9
05679,Antioquia,Santa Bárbara, 446 , 467 ,104.7, 467 ,104.7, 252 ,56.5, 467 ,104.7, 467 ,104.7, 451 , 398 ,88.2
05686,Antioquia,Santa Rosa de Osos, 613 , 646 ,105.4, 646 ,105.4, 710 ,115.8, 646 ,105.4, 646 ,105.4, 620 , 659 ,106.3
05690,Antioquia,Santo Domingo, 233 , 163 ,70.0, 164 ,70.4, 111 ,47.6, 162 ,69.5, 164 ,70.4, 234 , 183 ,78.2
05697,Antioquia,El Santuario, 462 , 522 ,113.0, 523 ,113.2, 252 ,54.5, 523 ,113.2, 523 ,113.2, 465 , 570 ,122.6
05736,Antioquia,Segovia, 841 , 870 ,103.4, 870 ,103.4, 447 ,53.2, 870 ,103.4, 870 ,103.4, 842 , 850 ,101.0
05756,Antioquia,Sonsón, 666 , 612 ,91.9, 622 ,93.4, 397 ,59.6, 622 ,93.4, 622 ,93.4, 678 , 634 ,93.5
05761,Antioquia,Sopetrán, 258 , 196 ,76.0, 198 ,76.7, 98 ,38.0, 196 ,76.0, 198 ,76.7, 260 , 202 ,77.7
05789,Antioquia,Támesis, 260 , 238 ,91.5, 238 ,91.5, 143 ,55.0, 238 ,91.5, 238 ,91.5, 261 , 243 ,93.1
05790,Antioquia,Tarazá," 1,050 ", 763 ,72.7, 803 ,76.5, 765 ,72.9, 806 ,76.8, 803 ,76.5," 1,029 ", 988 ,96.0
05792,Antioquia,Tarso, 158 , 93 ,58.9, 93 ,58.9, 55 ,34.8, 93 ,58.9, 93 ,58.9, 157 , 76 ,48.4
