CODIGO,Deptos,Municipio,Poblaciòn Menor de 1 año,POLIO,% VOP,DPT,% DPT,BCG,%BCG,HB,% Hepatitis B,HiB,%Hib,Poblaciòn de 1 año,T.V.,%Triple Viral
05001,Antioquia,Medellín," 28,963   ",29289,101.1,29428,101.6,42379,146.3,29427,101.6,29471,101.8," 29,143 ",31929,109.6
05002,Antioquia,Abejorral, 366   ,308,84.2,308,84.2,175,47.8,308,84.2,308,84.2, 365 ,292,80.0
05004,Antioquia,Abriaquí, 41   ,25,61.0,25,61.0,17,41.5,25,61.0,25,61.0, 41 ,17,41.5
05021,Antioquia,Alejandría, 53   ,62,117.0,62,117.0,42,79.2,62,117.0,62,117.0, 53 ,66,124.5
05030,Antioquia,Amagá, 560   ,343,61.3,355,63.4,178,31.8,356,63.6,358,63.9, 563 ,370,65.7
05031,Antioquia,Amalfi, 478   ,398,83.3,404,84.5,270,56.5,404,84.5,404,84.5, 476 ,431,90.5
05034,Antioquia,Andes, 858   ,588,68.5,588,68.5,560,65.3,586,68.3,588,68.5, 854 ,542,63.5
05036,Antioquia,Angelópolis, 128   ,107,83.6,107,83.6,48,37.5,107,83.6,107,83.6, 129 ,107,82.9
05038,Antioquia,Angostura, 299   ,176,58.9,177,59.2,133,44.5,176,58.9,176,58.9, 294 ,202,68.7
05040,Antioquia,Anorí, 321   ,291,90.7,292,91.0,222,69.2,292,91.0,293,91.3, 322 ,317,98.4
05042,Antioquia,Santafé de Antioquia, 497   ,370,74.4,372,74.8,975,196.2,372,74.8,372,74.8, 498 ,385,77.3
05044,Antioquia,Anzá, 165   ,139,84.2,140,84.8,61,37.0,140,84.8,140,84.8, 164 ,147,89.6
05045,Antioquia,Apartadó," 3,769   ",2060,54.7,2068,54.9,4611,122.3,2026,53.8,2090,55.5," 3,714 ",2150,57.9
05051,Antioquia,Arboletes, 868   ,596,68.7,604,69.6,451,52.0,604,69.6,604,69.6, 861 ,659,76.5
05055,Antioquia,Argelia, 240   ,159,66.3,160,66.7,124,51.7,159,66.3,159,66.3, 241 ,162,67.2
05059,Antioquia,Armenia, 95   ,49,51.6,53,55.8,34,35.8,49,51.6,51,53.7, 95 ,56,58.9
05079,Antioquia,Barbosa, 899   ,627,69.7,627,69.7,285,31.7,627,69.7,627,69.7, 900 ,586,65.1
05086,Antioquia,Belmira, 143   ,111,77.6,111,77.6,53,37.1,111,77.6,111,77.6, 142 ,88,62.0
05088,Antioquia,Bello," 6,907   ",4915,71.2,4898,70.9,2748,39.8,4945,71.6,4960,71.8," 6,977 ",4824,69.1
05091,Antioquia,Betania, 207   ,160,77.3,160,77.3,89,43.0,160,77.3,160,77.3, 208 ,169,81.3
05093,Antioquia,Betulia, 375   ,302,80.5,301,80.3,189,50.4,301,80.3,301,80.3, 371 ,309,83.3
05101,Antioquia,Ciudad Bolívar, 576   ,468,81.3,468,81.3,874,151.7,468,81.3,468,81.3, 576 ,475,82.5
05107,Antioquia,Briceño, 188   ,204,108.5,204,108.5,148,78.7,204,108.5,204,108.5, 189 ,234,123.8
05113,Antioquia,Buriticá, 152   ,137,90.1,135,88.8,73,48.0,137,90.1,137,90.1, 150 ,137,91.3
05120,Antioquia,Cáceres, 948   ,736,77.6,735,77.5,629,66.4,735,77.5,735,77.5, 927 ,726,78.3
05125,Antioquia,Caicedo, 203   ,167,82.3,169,83.3,106,52.2,169,83.3,169,83.3, 199 ,168,84.4
05129,Antioquia,Caldas," 1,117   ",897,80.3,897,80.3,1537,137.6,871,78.0,897,80.3," 1,131 ",991,87.6
05134,Antioquia,Campamento, 196   ,181,92.3,185,94.4,120,61.2,183,93.4,184,93.9, 196 ,216,110.2
05138,Antioquia,Cañasgordas, 374   ,239,63.9,244,65.2,130,34.8,244,65.2,244,65.2, 372 ,260,69.9
05142,Antioquia,Caracolí, 96   ,88,91.7,88,91.7,35,36.5,88,91.7,88,91.7, 95 ,89,93.7
05145,Antioquia,Caramanta, 107   ,75,70.1,75,70.1,37,34.6,75,70.1,75,70.1, 104 ,76,73.1
05147,Antioquia,Carepa," 1,216   ",806,66.3,806,66.3,696,57.2,806,66.3,806,66.3," 1,199 ",1018,84.9
05148,Antioquia,El Carmen de Viboral, 918   ,572,62.3,591,64.4,312,34.0,629,68.5,627,68.3, 912 ,568,62.3
05150,Antioquia,Carolina, 69   ,41,59.4,41,59.4,19,27.5,41,59.4,41,59.4, 69 ,37,53.6
05154,Antioquia,Caucasia," 2,206   ",1792,81.2,1804,81.8,3431,155.5,1792,81.2,1792,81.2," 2,188 ",2000,91.4
05172,Antioquia,Chigorodó," 1,660   ",1333,80.3,1332,80.2,987,59.5,1325,79.8,1334,80.4," 1,638 ",1482,90.5
05190,Antioquia,Cisneros, 169   ,162,95.9,163,96.4,86,50.9,163,96.4,163,96.4, 171 ,135,78.9
05197,Antioquia,Cocorná, 273   ,194,71.1,196,71.8,135,49.5,196,71.8,196,71.8, 272 ,199,73.2
05206,Antioquia,Concepción, 67   ,63,94.0,63,94.0,33,49.3,63,94.0,63,94.0, 65 ,56,86.2
05209,Antioquia,Concordia, 475   ,317,66.7,317,66.7,193,40.6,317,66.7,317,66.7, 473 ,341,72.1
05212,Antioquia,Copacabana, 885   ,478,54.0,481,54.4,157,17.7,481,54.4,481,54.4, 898 ,556,61.9
