COD,Deptos,Municipio,Poblaciòn Menor de 1 año,POLIO,% VOP,DPT,% DPT,BCG,%BCG,HB,% HB,HiB,%Hib,Poblaciòn de 1 año,T.V.,%Triple Viral,F.A.,%F.A.,Rotavirus 2da Dosis,Neumococo 3ra Dosis   1er. Año,Neumococo 2da Dosis     (12-23 meses),Neumococo Dosis Unica (24-35 meses),TOTALES,,,
05001,ANTIOQUIA,Medellín," 28,948   ",28650,99.0,28630,98.9,27349,94.5,28630,98.9,28630,98.9," 29,096 ",32418,111.4,32499,111.7,19621,4682,2464,2041," 235,614 ",,,
05002,ANTIOQUIA,Abejorral, 364   ,300,82.4,300,82.4,230,63.2,300,82.4,300,82.4, 361 ,360,99.7,356,98.6,246,12,8,2," 2,414 ",,,
05004,ANTIOQUIA,Abriaquí, 40   ,28,70.0,38,95.0,21,52.5,38,95.0,38,95.0, 41 ,34,82.9,35,85.4,28,2,0,0, 262 ,,,
05021,ANTIOQUIA,Alejandría, 51   ,53,103.9,53,103.9,30,58.8,53,103.9,53,103.9, 51 ,62,121.6,63,123.5,44,2,0,0, 413 ,,,
05030,ANTIOQUIA,Amagá, 558   ,380,68.1,379,67.9,350,62.7,379,67.9,379,67.9, 560 ,538,96.1,510,91.1,343,33,2,1," 3,294 ",,,
05031,ANTIOQUIA,Amalfi, 480   ,413,86.0,414,86.3,268,55.8,413,86.0,416,86.7, 476 ,468,98.3,450,94.5,283,30,35,0," 3,190 ",,,
05034,ANTIOQUIA,Andes, 862   ,596,69.1,593,68.8,610,70.8,594,68.9,594,68.9, 857 ,715,83.4,730,85.2,547,42,9,1," 5,031 ",,,
05036,ANTIOQUIA,Angelópolis, 129   ,92,71.3,92,71.3,73,56.6,92,71.3,92,71.3, 131 ,120,91.6,110,84.0,56,4,1,0, 732 ,,,
05038,ANTIOQUIA,Angostura, 294   ,189,64.3,190,64.6,158,53.7,190,64.6,190,64.6, 288 ,265,92.0,249,86.5,167,11,12,0," 1,621 ",,,
05040,ANTIOQUIA,Anorí, 325   ,326,100.3,331,101.8,258,79.4,330,101.5,330,101.5, 324 ,343,105.9,371,114.5,208,8,1,0," 2,506 ",,,
05042,ANTIOQUIA,Santafé de Antioquia, 499   ,341,68.3,340,68.1,583,116.8,340,68.1,340,68.1, 499 ,450,90.2,442,88.6,233,18,2,0," 3,089 ",,,
05044,ANTIOQUIA,Anzá, 164   ,132,80.5,132,80.5,121,73.8,131,79.9,131,79.9, 162 ,112,69.1,129,79.6,112,2,0,0," 1,002 ",,,
05045,ANTIOQUIA,Apartadó," 3,866   ",2891,74.8,2618,67.7,2959,76.5,2569,66.5,2618,67.7," 3,806 ",3100,81.5,3210,84.3,1355,47,31,4," 21,402 ",,,
05051,ANTIOQUIA,Arboletes, 885   ,537,60.7,545,61.6,401,45.3,545,61.6,544,61.5, 876 ,672,76.7,771,88.0,348,4,7,0," 4,374 ",,,
05055,ANTIOQUIA,Argelia, 236   ,181,76.7,184,78.0,167,70.8,184,78.0,184,78.0, 234 ,189,80.8,219,93.6,134,4,26,1," 1,473 ",,,
05059,ANTIOQUIA,Armenia, 93   ,71,76.3,74,79.6,62,66.7,74,79.6,74,79.6, 93 ,64,68.8,72,77.4,55,4,4,0, 554 ,,,
05079,ANTIOQUIA,Barbosa, 904   ,548,60.6,549,60.7,385,42.6,549,60.7,549,60.7, 903 ,622,68.9,617,68.3,492,33,19,2," 4,365 ",,,
05086,ANTIOQUIA,Belmira, 143   ,83,58.0,95,66.4,69,48.3,95,66.4,95,66.4, 142 ,115,81.0,115,81.0,62,10,0,0, 739 ,,,
05088,ANTIOQUIA,Bello," 6,957   ",5350,76.9,5550,79.8,5009,72.0,5520,79.3,5550,79.8," 7,012 ",5660,80.7,5731,81.7,4001,189,45,5," 42,610 ",,,
05091,ANTIOQUIA,Betania, 204   ,170,83.3,184,90.2,152,74.5,184,90.2,182,89.2, 204 ,171,83.8,173,84.8,124,6,3,1," 1,350 ",,,
05093,ANTIOQUIA,Betulia, 375   ,289,77.1,292,77.9,271,72.3,292,77.9,292,77.9, 372 ,293,78.8,295,79.3,200,6,11,1," 2,242 ",,,
05101,ANTIOQUIA,Ciudad Bolívar, 569   ,461,81.0,462,81.2,500,87.9,462,81.2,462,81.2, 568 ,501,88.2,489,86.1,332,16,3,0," 3,688 ",,,
05107,ANTIOQUIA,Briceño, 188   ,176,93.6,177,94.1,163,86.7,176,93.6,176,93.6, 188 ,183,97.3,198,105.3,139,3,14,3," 1,408 ",,,
05113,ANTIOQUIA,Buriticá, 150   ,141,94.0,141,94.0,132,88.0,141,94.0,141,94.0, 149 ,144,96.6,147,98.7,113,2,0,0," 1,102 ",,,
05120,ANTIOQUIA,Cáceres, 961   ,885,92.1,895,93.1,690,71.8,895,93.1,895,93.1, 937 ,852,90.9,878,93.7,472,5,1,0," 6,468 ",,,
05125,ANTIOQUIA,Caicedo, 202   ,128,63.4,129,63.9,102,50.5,129,63.9,129,63.9, 197 ,160,81.2,173,87.8,112,16,16,0," 1,094 ",,,
05129,ANTIOQUIA,Caldas," 1,115   ",950,85.2,930,83.4,972,87.2,930,83.4,930,83.4," 1,125 ",931,82.8,914,81.2,785,131,38,1," 7,512 ",,,
05134,ANTIOQUIA,Campamento, 194   ,161,83.0,160,82.5,130,67.0,162,83.5,160,82.5, 194 ,162,83.5,170,87.6,121,0,0,0," 1,226 ",,,
05138,ANTIOQUIA,Cañasgordas, 379   ,207,54.6,210,55.4,197,52.0,210,55.4,210,55.4, 373 ,225,60.3,245,65.7,167,6,15,0," 1,692 ",,,
05142,ANTIOQUIA,Caracolí, 94   ,73,77.7,72,76.6,68,72.3,72,76.6,72,76.6, 94 ,80,85.1,80,85.1,66,2,2,0, 587 ,,,
05145,ANTIOQUIA,Caramanta, 100   ,56,56.0,56,56.0,51,51.0,56,56.0,56,56.0, 103 ,68,66.0,68,66.0,55,1,1,1, 469 ,,,
05147,ANTIOQUIA,Carepa," 1,241   ",758,61.1,759,61.2,946,76.2,758,61.1,758,61.1," 1,221 ",825,67.6,865,70.8,420,22,9,3," 6,123 ",,,
05148,ANTIOQUIA,El Carmen de Viboral, 926   ,523,56.5,525,56.7,467,50.4,525,56.7,525,56.7, 919 ,598,65.1,607,66.1,443,26,5,0," 4,244 ",,,
05150,ANTIOQUIA,Carolina, 68   ,44,64.7,44,64.7,30,44.1,44,64.7,44,64.7, 67 ,43,64.2,42,62.7,37,2,1,0, 331 ,,,
05154,ANTIOQUIA,Caucasia," 2,245   ",1895,84.4,1897,84.5,3204,142.7,1883,83.9,1897,84.5," 2,221 ",2120,95.5,2152,96.9,1151,22,8,26," 16,255 ",,,
05172,ANTIOQUIA,Chigorodó," 1,693   ",1514,89.4,1515,89.5,1608,95.0,1512,89.3,1511,89.2," 1,668 ",1744,104.6,1752,105.0,1000,36,14,0," 12,206 ",,,
05190,ANTIOQUIA,Cisneros, 166   ,130,78.3,132,79.5,119,71.7,132,79.5,132,79.5, 167 ,157,94.0,157,94.0,112,5,1,0," 1,077 ",,,
