COD,Deptos,Municipio,Poblaciòn Menor de 1 año, POLIO , % VOP , DPT , % DPT , BCG , %BCG , HB , % HB , HiB , %Hib ,Rotavirus,% Rota,Poblaciòn de 1 año, T.V. , %TV , F.A. , %F.A. ,Neumo 2da (11 Meses 29 Dias),Neumo 3ra (12 Meses),Neumo 2da (12-23 meses),Neumo U. (24- 35 Meses),"POLIO 
1er. Ref.","DPT
1er. Ref.","POLIO
2do. Ref.","DPT
2do. Ref.","T. V.
Ref.",Totales
05001,ANTIOQUIA,Medellín," 29,254   ",27082,92.6,27098,92.6,32489,111.1,27159,92.8,27098,92.6,25973, 88.8   ," 29,152 ",27893,95.7,20788, 71.3 ,4216,3068,786,0,26632,26642,26653,1,25067," 328,645 "
05002,ANTIOQUIA,Abejorral, 359   ,261,72.7,261,72.7,231,64.3,262,73.0,261,72.7,265, 73.8   , 358 ,268,74.9,220, 61.5 ,21,35,0,0,303,303,308,0,307," 3,306 "
05004,ANTIOQUIA,Abriaquí, 40   ,23,57.5,23,57.5,37,92.5,23,57.5,23,57.5,18, 45.0   , 40 ,21,52.5,15, 37.5 ,2,0,0,0,26,26,33,0,33, 303 
05021,ANTIOQUIA,Alejandría, 54   ,50,92.6,50,92.6,42,77.8,50,92.6,50,92.6,48, 88.9   , 53 ,45,84.9,40, 75.5 ,3,1,0,0,53,53,62,0,62, 609 
05030,ANTIOQUIA,Amagá, 548   ,343,62.6,343,62.6,251,45.8,343,62.6,343,62.6,320, 58.4   , 558 ,371,66.5,336, 60.2 ,35,46,2,0,369,370,433,0,436," 4,341 "
05031,ANTIOQUIA,Amalfi, 486   ,424,87.2,426,87.7,349,71.8,425,87.4,425,87.4,381, 78.4   , 480 ,453,94.4,325, 67.7 ,15,34,7,0,384,384,410,0,432," 4,874 "
05034,ANTIOQUIA,Andes, 836   ,494,59.1,495,59.2,489,58.5,495,59.2,495,59.2,468, 56.0   , 850 ,458,53.9,410, 48.2 ,46,48,10,0,466,471,569,0,575," 5,989 "
05036,ANTIOQUIA,Angelópolis, 133   ,67,50.4,67,50.4,67,50.4,67,50.4,67,50.4,85, 63.9   , 134 ,80,59.7,86, 64.2 ,13,8,0,0,86,86,95,0,95, 969 
05038,ANTIOQUIA,Angostura, 298   ,151,50.7,150,50.3,163,54.7,150,50.3,150,50.3,158, 53.0   , 285 ,182,63.9,166, 58.2 ,12,13,0,0,181,184,207,0,207," 2,074 "
05040,ANTIOQUIA,Anorí, 337   ,323,95.8,322,95.5,274,81.3,323,95.8,322,95.5,283, 84.0   , 332 ,230,69.3,213, 64.2 ,21,19,1,0,186,189,276,0,260," 3,242 "
05042,ANTIOQUIA,Santafé de Antioquia, 503   ,315,62.6,315,62.6,341,67.8,313,62.2,315,62.6,316, 62.8   , 503 ,329,65.4,280, 55.7 ,26,10,3,0,316,321,335,0,346," 3,881 "
05044,ANTIOQUIA,Anzá, 160   ,121,75.6,121,75.6,83,51.9,121,75.6,122,76.3,91, 56.9   , 159 ,105,66.0,113, 71.1 ,6,10,0,0,114,114,116,0,117," 1,354 "
05045,ANTIOQUIA,Apartadó," 3,744   ",2228,59.5,2202,58.8,2643,70.6,2203,58.8,2207,58.9,1943, 51.9   ," 3,750 ",2276,60.7,1775, 47.3 ,112,50,5,0,2000,2013,2675,0,2666," 26,998 "
05051,ANTIOQUIA,Arboletes, 886   ,461,52.0,476,53.7,344,38.8,476,53.7,476,53.7,365, 41.2   , 886 ,586,66.1,448, 50.6 ,16,14,0,0,435,450,683,0,732," 5,962 "
05055,ANTIOQUIA,Argelia, 229   ,140,61.1,142,62.0,126,55.0,143,62.4,142,62.0,136, 59.4   , 229 ,166,72.5,173, 75.5 ,14,9,1,0,191,192,188,0,191," 1,954 "
05059,ANTIOQUIA,Armenia, 89   ,45,50.6,44,49.4,42,47.2,44,49.4,45,50.6,45, 50.6   , 91 ,58,63.7,64, 70.3 ,1,3,0,0,66,65,61,0,56, 639 
05079,ANTIOQUIA,Barbosa, 920   ,532,57.8,534,58.0,293,31.8,534,58.0,534,58.0,505, 54.9   , 919 ,598,65.1,488, 53.1 ,75,62,16,0,536,538,671,0,683," 6,599 "
