ANO,MES,CODIGO DEPARTAMENTO,DEPARTAMENTO,CODIGO MUNICIPIO,MUNICIPIO,GRUPO POBLACIONAL,BIOLOGICO,META,DOSIS APLICADAS,COBERTURA,DOSIS APLICADAS ACUMULADAS,COBERTURA ACUMULADA
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,RECIEN NACIDO,BCG,153,0,0.00,0,0.00
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,RECIEN NACIDO,HEPATITIS B,153,0,0.00,0,0.00
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,DOS MESES,POLIO 1ra,153,12,7.84,12,7.84
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,CUATRO MESES,POLIO 2da,153,14,9.15,14,9.15
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,SEIS MESES,POLIO 3ra,153,17,11.11,17,11.11
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,DOS MESES,PENTA 1ra,153,12,7.84,12,7.84
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,CUATRO MESES,PENTA 2da,153,14,9.15,14,9.15
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,SEIS MESES,PENTA 3ra,153,17,11.11,17,11.11
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,DOS MESES,ROTAVIRUS 1ra,153,12,7.84,12,7.84
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,CUATRO MESES,ROTAVIRUS 2da,153,14,9.15,14,9.15
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,DOS MESES,NEUMOCOCO 1ra,153,12,7.84,12,7.84
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,CUATRO MESES,NEUMOCOCO 2da,153,14,9.15,14,9.15
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,UN AÑO,TRIPLE VIRAL,169,8,4.73,8,4.73
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,UN AÑO,HEPATITIS A,169,8,4.73,8,4.73
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,UN AÑO,VARICELA,169,8,4.73,8,4.73
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,UN AÑO,NEUMOCOCO ref,169,8,4.73,8,4.73
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,DIECIOCHO MESES,FIEBRE AMARILLA,169,29,17.16,29,17.16
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,DIECIOCHO MESES,POLIO 1ra ref,169,29,17.16,29,17.16
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,DIECIOCHO MESES,PENTA 1era ref,169,29,17.16,29,17.16
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,CINCO AÑOS,POLIO 2da ref,179,15,8.38,15,8.38
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,CINCO AÑOS,DPT 2da ref,179,15,8.38,15,8.38
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,CINCO AÑOS,TRIPLE VIRAL ref 5 anos,179,15,8.38,15,8.38
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,CINCO AÑOS,VARICELA ref.,179,15,8.38,15,8.38
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,GESTANTES,TdaP ACELULAR GESTANTES,153,10,6.54,10,6.54
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,VPH,VPH 1ra,115,0,0.00,0,0.00
2022,ENERO,76,VALLE DEL CAUCA,76020,ALCALÁ,VPH,VPH 2da,115,3,2.61,3,2.61
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,RECIEN NACIDO,BCG,154,1,0.65,1,0.65
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,RECIEN NACIDO,HEPATITIS B,154,1,0.65,1,0.65
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,DOS MESES,POLIO 1ra,154,7,4.55,7,4.55
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,CUATRO MESES,POLIO 2da,154,9,5.84,9,5.84
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,SEIS MESES,POLIO 3ra,154,8,5.19,8,5.19
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,DOS MESES,PENTA 1ra,154,7,4.55,7,4.55
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,CUATRO MESES,PENTA 2da,154,9,5.84,9,5.84
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,SEIS MESES,PENTA 3ra,154,8,5.19,8,5.19
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,DOS MESES,ROTAVIRUS 1ra,154,7,4.55,7,4.55
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,CUATRO MESES,ROTAVIRUS 2da,154,9,5.84,9,5.84
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,DOS MESES,NEUMOCOCO 1ra,154,7,4.55,7,4.55
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,CUATRO MESES,NEUMOCOCO 2da,154,9,5.84,9,5.84
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,UN AÑO,TRIPLE VIRAL,164,12,7.32,12,7.32
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,UN AÑO,HEPATITIS A,164,12,7.32,12,7.32
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,UN AÑO,VARICELA,164,12,7.32,12,7.32
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,UN AÑO,NEUMOCOCO ref,164,12,7.32,12,7.32
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,DIECIOCHO MESES,FIEBRE AMARILLA,164,12,7.32,12,7.32
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,DIECIOCHO MESES,POLIO 1ra ref,164,12,7.32,12,7.32
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,DIECIOCHO MESES,PENTA 1era ref,164,12,7.32,12,7.32
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,CINCO AÑOS,POLIO 2da ref,200,10,5.00,10,5.00
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,CINCO AÑOS,DPT 2da ref,200,10,5.00,10,5.00
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,CINCO AÑOS,TRIPLE VIRAL ref 5 anos,200,10,5.00,10,5.00
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,CINCO AÑOS,VARICELA ref.,200,10,5.00,10,5.00
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,GESTANTES,TdaP ACELULAR GESTANTES,154,4,2.60,4,2.60
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,VPH,VPH 1ra,170,2,1.18,2,1.18
2022,ENERO,76,VALLE DEL CAUCA,76036,ANDALUCÍA,VPH,VPH 2da,170,0,0.00,0,0.00
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,RECIEN NACIDO,BCG,187,7,3.74,7,3.74
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,RECIEN NACIDO,HEPATITIS B,187,7,3.74,7,3.74
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,DOS MESES,POLIO 1ra,187,20,10.70,20,10.70
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,CUATRO MESES,POLIO 2da,187,21,11.23,21,11.23
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,SEIS MESES,POLIO 3ra,187,20,10.70,20,10.70
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,DOS MESES,PENTA 1ra,187,20,10.70,20,10.70
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,CUATRO MESES,PENTA 2da,187,21,11.23,21,11.23
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,SEIS MESES,PENTA 3ra,187,20,10.70,20,10.70
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,DOS MESES,ROTAVIRUS 1ra,187,20,10.70,20,10.70
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,CUATRO MESES,ROTAVIRUS 2da,187,21,11.23,21,11.23
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,DOS MESES,NEUMOCOCO 1ra,187,20,10.70,20,10.70
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,CUATRO MESES,NEUMOCOCO 2da,187,21,11.23,21,11.23
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,UN AÑO,TRIPLE VIRAL,195,23,11.79,23,11.79
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,UN AÑO,HEPATITIS A,195,22,11.28,22,11.28
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,UN AÑO,VARICELA,195,22,11.28,22,11.28
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,UN AÑO,NEUMOCOCO ref,195,23,11.79,23,11.79
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,DIECIOCHO MESES,FIEBRE AMARILLA,195,21,10.77,21,10.77
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,DIECIOCHO MESES,POLIO 1ra ref,195,21,10.77,21,10.77
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,DIECIOCHO MESES,PENTA 1era ref,195,21,10.77,21,10.77
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,CINCO AÑOS,POLIO 2da ref,236,17,7.20,17,7.20
2022,ENERO,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,CINCO AÑOS,DPT 2da ref,236,17,7.20,17,7.20
