DEPARTAMENTO,2018,2019,2020,2021
ANTIOQUI,15.3,15.7,14.9,14.3
ATLANTICO,21.1,14.9,14.1,15.5
BOGOTA D.C D.C.,4.1,7.1,7.5,5.7
BOLIVAR,31.9,26.9,28.1,26.8
BOYACA,16.5,12.8,11.7,10.9
CALDAS,13.8,14.3,14.5,11.5
CAQUETA,26.9,25.7,26.1,23.1
CAUCA,27.7,24,28.2,18.6
CESAR,31.7,25.5,27.2,25.3
CORDOBA,34.4,34.7,31.8,26.9
CUNDINAMARCA,10.5,12.3,11.4,9.4
CHOCO,46.3,42.3,49,36
HULIA,18,18.3,23.4,17.5
LA GUAJIRA,53.3,48.8,51.7,48.7
MAGDALENA,36.4,31.6,33.4,32.4
META,15.6,19.1,14.1,14.9
NARIÑO,33.1,23.2,27.3,22.1
NORTE DE SANTANDER,29.5,24.2,26.1,24.7
QUINDIO,14.2,10.2,12.9,10.9
RISARALDA,11.6,11.1,13.1,10.7
SANTANDER,12.6,12.4,12.5,13.3
SUCRE,41.7,33.3,38.1,30.3
TOLIMA,22.2,15.2,19,16.6
VALLE DEL CAUCA,14.1,10.8,11.1,8.6
ARAUCA,27.6,23.3,26.1,26.8
CASANARE,19,18.3,19.6,19.5
PUTUMAYO,24.1,25.4,27.8,22.8
SAN ANDRES,8.5,8.2,11.9,7
AMAZONAS,35.4,35.6,39,25.7
GUAINIA,60.6,67,65.9,57.3
GUAVIARE,31.4,30.9,34.6,31
VAUPES,68.5,66.5,65.6,52.7
VICHADA,63.5,72.2,75.6,64.8
