ANO,CODIGO DEPARTAMENTO,DEPARTAMENTO,MUNICIPIO,GRUPO POBLACIONAL,BIOLOGICO,META,DOSIS APLICADAS,COBERTURA,TIPO DOSIS,REGION
2008,5001,Antioquia,Medellín,Población Menor de 1 año,VOP,28963,29289,101.12557400821738,Unica,None
2008,5002,Antioquia,Abejorral,Población Menor de 1 año,VOP,366,308,84.15300546448088,Unica,None
2008,5004,Antioquia,Abriaquí,Población Menor de 1 año,VOP,41,25,60.97560975609756,Unica,None
2008,5021,Antioquia,Alejandría,Población Menor de 1 año,VOP,53,62,116.98113207547169,Unica,None
2008,5030,Antioquia,Amagá,Población Menor de 1 año,VOP,560,343,61.25000000000001,Unica,None
2008,5031,Antioquia,Amalfi,Población Menor de 1 año,VOP,478,398,83.26359832635984,Unica,None
2008,5034,Antioquia,Andes,Población Menor de 1 año,VOP,858,588,68.53146853146853,Unica,None
2008,5036,Antioquia,Angelópolis,Población Menor de 1 año,VOP,128,107,83.59375,Unica,None
2008,5038,Antioquia,Angostura,Población Menor de 1 año,VOP,299,176,58.862876254180605,Unica,None
2008,5040,Antioquia,Anorí,Población Menor de 1 año,VOP,321,291,90.65420560747664,Unica,None
2008,5042,Antioquia,Santafé de Antioquia,Población Menor de 1 año,VOP,497,370,74.44668008048289,Unica,None
2008,5044,Antioquia,Anzá,Población Menor de 1 año,VOP,165,139,84.24242424242424,Unica,None
2008,5045,Antioquia,Apartadó,Población Menor de 1 año,VOP,3769,2060,54.65640753515522,Unica,None
2008,5051,Antioquia,Arboletes,Población Menor de 1 año,VOP,868,596,68.66359447004609,Unica,None
2008,5055,Antioquia,Argelia,Población Menor de 1 año,VOP,240,159,66.25,Unica,None
2008,5059,Antioquia,Armenia,Población Menor de 1 año,VOP,95,49,51.578947368421055,Unica,None
2008,5079,Antioquia,Barbosa,Población Menor de 1 año,VOP,899,627,69.74416017797553,Unica,None
2008,5086,Antioquia,Belmira,Población Menor de 1 año,VOP,143,111,77.62237762237763,Unica,None
2008,5088,Antioquia,Bello,Población Menor de 1 año,VOP,6907,4915,71.15969306500651,Unica,None
2008,5091,Antioquia,Betania,Población Menor de 1 año,VOP,207,160,77.29468599033817,Unica,None
2008,5093,Antioquia,Betulia,Población Menor de 1 año,VOP,375,302,80.53333333333333,Unica,None
2008,5101,Antioquia,Ciudad Bolívar,Población Menor de 1 año,VOP,576,468,81.25,Unica,None
2008,5107,Antioquia,Briceño,Población Menor de 1 año,VOP,188,204,108.51063829787233,Unica,None
2008,5113,Antioquia,Buriticá,Población Menor de 1 año,VOP,152,137,90.13157894736842,Unica,None
2008,5120,Antioquia,Cáceres,Población Menor de 1 año,VOP,948,736,77.63713080168776,Unica,None
2008,5125,Antioquia,Caicedo,Población Menor de 1 año,VOP,203,167,82.26600985221675,Unica,None
2008,5129,Antioquia,Caldas,Población Menor de 1 año,VOP,1117,897,80.30438675022381,Unica,None
2008,5134,Antioquia,Campamento,Población Menor de 1 año,VOP,196,181,92.3469387755102,Unica,None
