ANO,CODIGO DEPARTAMENTO,DEPARTAMENTO,MUNICIPIO,GRUPO POBLACIONAL,BIOLOGICO,META,DOSIS APLICADAS,COBERTURA,TIPO DOSIS,REGION
2007,5001.0,ANTIOQUIA,Medellín,MENOR DE 1 AÑO,VOP,,29428.0,101.17930204572804,Unica,
2007,5002.0,ANTIOQUIA,Abejorral,MENOR DE 1 AÑO,VOP,,333.0,90.0,Unica,
2007,5004.0,ANTIOQUIA,Abriaquí,MENOR DE 1 AÑO,VOP,,30.0,69.76744186046511,Unica,
2007,5021.0,ANTIOQUIA,Alejandría,MENOR DE 1 AÑO,VOP,,74.0,139.62264150943395,Unica,
2007,5030.0,ANTIOQUIA,Amagá,MENOR DE 1 AÑO,VOP,,400.0,71.04795737122558,Unica,
2007,5031.0,ANTIOQUIA,Amalfi,MENOR DE 1 AÑO,VOP,,494.0,103.34728033472804,Unica,
2007,5034.0,ANTIOQUIA,Andes,MENOR DE 1 AÑO,VOP,,547.0,64.05152224824356,Unica,
2007,5036.0,ANTIOQUIA,Angelópolis,MENOR DE 1 AÑO,VOP,,85.0,66.92913385826772,Unica,
2007,5038.0,ANTIOQUIA,Angostura,MENOR DE 1 AÑO,VOP,,236.0,77.37704918032787,Unica,
2007,5040.0,ANTIOQUIA,Anorí,MENOR DE 1 AÑO,VOP,,370.0,115.98746081504704,Unica,
2007,5042.0,ANTIOQUIA,Santafé de Antioquia,MENOR DE 1 AÑO,VOP,,379.0,76.25754527162978,Unica,
2007,5044.0,ANTIOQUIA,Anzá,MENOR DE 1 AÑO,VOP,,131.0,78.91566265060241,Unica,
2007,5045.0,ANTIOQUIA,Apartadó,MENOR DE 1 AÑO,VOP,,2623.0,71.2965479749932,Unica,
2007,5051.0,ANTIOQUIA,Arboletes,MENOR DE 1 AÑO,VOP,,539.0,63.262910798122064,Unica,
2007,5055.0,ANTIOQUIA,Argelia,MENOR DE 1 AÑO,VOP,,144.0,58.06451612903226,Unica,
2007,5059.0,ANTIOQUIA,Armenia,MENOR DE 1 AÑO,VOP,,72.0,74.22680412371135,Unica,
2007,5079.0,ANTIOQUIA,Barbosa,MENOR DE 1 AÑO,VOP,,555.0,62.01117318435754,Unica,
2007,5086.0,ANTIOQUIA,Belmira,MENOR DE 1 AÑO,VOP,,110.0,76.92307692307693,Unica,
