ANO,CODIGO DEPARTAMENTO,DEPARTAMENTO,MUNICIPIO,GRUPO POBLACIONAL,BIOLOGICO,META,DOSIS APLICADAS,COBERTURA,TIPO DOSIS,REGION
2016,91.0,AMAZONAS,,RECIÉN NACIDO HASTA 11 MESES,BCG,1802,1503.0,83.4,Dosis Unica,AMAZONIA
2016,5.0,ANTIOQUIA,,RECIÉN NACIDO HASTA 11 MESES,BCG,78411,75215.0,95.9,Dosis Unica,ANDINA
2016,81.0,ARAUCA,,RECIÉN NACIDO HASTA 11 MESES,BCG,4272,4415.0,103.3,Dosis Unica,LLANOS
2016,8.0,ATLANTICO,,RECIÉN NACIDO HASTA 11 MESES,BCG,20672,20653.0,99.9,Dosis Unica,CARIBE
2016,8001.0,BARRANQUILLA,,RECIÉN NACIDO HASTA 11 MESES,BCG,21907,22270.0,101.7,Dosis Unica,CARIBE
2016,11.0,BOGOTA D.C.,,RECIÉN NACIDO HASTA 11 MESES,BCG,105191,112338.0,106.8,Dosis Unica,ANDINA
2016,13.0,BOLIVAR,,RECIÉN NACIDO HASTA 11 MESES,BCG,22708,11559.0,50.9,Dosis Unica,CARIBE
2016,13001.0,CARTAGENA,,RECIÉN NACIDO HASTA 11 MESES,BCG,19368,19203.0,99.1,Dosis Unica,CARIBE
2016,15.0,BOYACA,,RECIÉN NACIDO HASTA 11 MESES,BCG,16432,15612.0,95.0,Dosis Unica,ANDINA
2016,17.0,CALDAS,,RECIÉN NACIDO HASTA 11 MESES,BCG,10276,9876.0,96.1,Dosis Unica,ANDINA
2016,18.0,CAQUETA,,RECIÉN NACIDO HASTA 11 MESES,BCG,8825,7261.0,82.3,Dosis Unica,AMAZONIA
2016,85.0,CASANARE,,RECIÉN NACIDO HASTA 11 MESES,BCG,7580,6420.0,84.7,Dosis Unica,LLANOS
2016,19.0,CAUCA,,RECIÉN NACIDO HASTA 11 MESES,BCG,22448,17198.0,76.6,Dosis Unica,PACIFICO
2016,20.0,CESAR,,RECIÉN NACIDO HASTA 11 MESES,BCG,23728,20554.0,86.6,Dosis Unica,CARIBE
2016,27.0,CHOCO,,RECIÉN NACIDO HASTA 11 MESES,BCG,10908,9145.0,83.8,Dosis Unica,PACIFICO
2016,23.0,CORDOBA,,RECIÉN NACIDO HASTA 11 MESES,BCG,32530,23898.0,73.5,Dosis Unica,CARIBE
2016,25.0,CUNDINAMARCA,,RECIÉN NACIDO HASTA 11 MESES,BCG,37799,18528.0,49.0,Dosis Unica,ANDINA
2016,94.0,GUAINIA,,RECIÉN NACIDO HASTA 11 MESES,BCG,781,960.0,122.9,Dosis Unica,AMAZONIA
2016,95.0,GUAVIARE,,RECIÉN NACIDO HASTA 11 MESES,BCG,1398,1215.0,86.9,Dosis Unica,AMAZONIA
2016,41.0,HUILA,,RECIÉN NACIDO HASTA 11 MESES,BCG,20719,19950.0,96.3,Dosis Unica,ANDINA
2016,44.0,LA GUAJIRA,,RECIÉN NACIDO HASTA 11 MESES,BCG,20984,18344.0,87.4,Dosis Unica,CARIBE
2016,47.0,MAGDALENA,,RECIÉN NACIDO HASTA 11 MESES,BCG,17776,13323.0,74.9,Dosis Unica,CARIBE
2016,47001.0,SANTA MARTA,,RECIÉN NACIDO HASTA 11 MESES,BCG,9061,9296.0,102.6,Dosis Unica,CARIBE
2016,50.0,META,,RECIÉN NACIDO HASTA 11 MESES,BCG,16745,15762.0,94.1,Dosis Unica,LLANOS
